tau,deg,rep,n_test,LAP,W,eta,seconds
2,1,27,2000,0.00820093164471461,0.133559404692688,0.06140287659700528,19.5
2,1,26,2000,0.008424420560613155,0.13400518963072533,0.0628663754279078,19.63
2,1,28,2000,0.008012304550500157,0.13161359546908563,0.06087748398593173,19.67
2,1,29,2000,0.008432005880194715,0.13401792394856765,0.0629170011873239,19.79
2,1,31,2000,0.008137134125619172,0.13246776175630076,0.0614272787411397,19.25
2,1,32,2000,0.007974190916467588,0.13338815206128235,0.05978185313493222,19.16
2,1,30,2000,0.008420728232302666,0.13412462548626927,0.06278286483017781,19.36
2,1,33,2000,0.007805055421971421,0.13201877010111598,0.05912080089818564,19.34
2,1,34,2000,0.008051528749699,0.13340291782246522,0.06035496735096983,19.7
2,1,35,2000,0.008376406919050797,0.13255380276204917,0.06319250556762604,19.73
2,1,36,2000,0.007856119211447105,0.13234399369458294,0.0593613581707159,19.88
2,1,37,2000,0.008241727693310996,0.13419333776886827,0.06141681718586038,19.64
2,1,38,2000,0.008160257430995826,0.13340166251607427,0.06117058271303443,19.56
2,1,40,2000,0.00804896589890998,0.1323145606975719,0.06083204944697886,18.93
2,1,41,2000,0.008291666834690986,0.13202154102943164,0.06280540864799117,18.95
2,1,42,2000,0.008144405975007124,0.13369861973676048,0.06091615598607274,18.96
2,1,39,2000,0.007746311203862211,0.13283664222195052,0.05831456648022812,19.08
2,1,43,2000,0.008322654933134235,0.13326844089419024,0.062450306143688496,19.13
2,1,44,2000,0.007958578594342958,0.13250530818313588,0.0600623379053116,19.19
2,1,46,2000,0.008156736062636477,0.13181478561299287,0.06188028167480837,19.17
2,1,45,2000,0.008325777675803614,0.13289676883962034,0.06264845826199998,19.34
2,1,47,2000,0.008230351878585673,0.13330706124746597,0.0617398043402005,18.96
2,1,49,2000,0.00829573741778386,0.1347749372274774,0.061552522957455,19.12
2,1,48,2000,0.00826967339505616,0.13349325540545423,0.061948248770613765,19.27
2,4,0,2000,0.009874015306848158,0.12981827523207287,0.07606028726846531,19.34
2,4,1,2000,0.009930073305424517,0.1299187946895406,0.07643292357471324,19.56
2,4,3,2000,0.010017933449874838,0.1302045767851643,0.0769399486348647,19.43
2,4,2,2000,0.01008744012461163,0.13060674335177286,0.07723521669507045,19.54
2,4,4,2000,0.010217615098991814,0.13165383711930304,0.07760970225070418,19.61
2,4,5,2000,0.009810402012066552,0.1304597787710988,0.07519867122632193,19.55
